Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-04-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2017-04-11,J.P. Morgan,9 month,3,neutral,53.0
2017-04-06,Edward Jones,Not Provided,5,buy,-0.0
2017-03-24,Barclays,Not Provided,3,equalweight,49.0
2017-03-20,Argus Research Corp,Not Provided,5,buy,60.0
2017-02-24,Morgan Stanley,12 month,3,Equalwt/In-Line,56.0
2017-02-17,Gabelli & Co,Not Provided,5,buy,-0.0
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.0
2017-04-26,Credit Suisse,Not Provided,5,outperform,61.0
2017-04-25,Stifel,12 month,5,buy,65.0
2017-04-24,Cowen,Not Provided,5,outperform,60.0
2017-04-24,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-04-24,Craig-Hallum Capital Group LLC,12 month,5,buy,65.0
2017-04-24,Piper Jaffray,Not Provided,5,overweight,61.0
2017-04-21,Jefferies,12 month,5,buy,65.0
2017-04-21,William Blair & Co,Not Provided,5,outperform,-0.0
2017-04-16,BMO Capital Markets,Not Provided,5,outperform,60.0
2017-04-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2017-04-11,J.P. Morgan,9 month,3,neutral,53.0
2017-04-06,Edward Jones,Not Provided,5,buy,-0.0
2017-03-24,Barclays,Not Provided,3,equalweight,49.0
2017-03-20,Argus Research Corp,Not Provided,5,buy,60.0
2017-02-24,Morgan Stanley,12 month,3,Equalwt/In-Line,56.0
2017-02-17,Gabelli & Co,Not Provided,5,buy,-0.0
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.0
2017-04-26,Credit Suisse,Not Provided,5,outperform,61.0
2017-04-25,Stifel,12 month,5,buy,65.0
2017-04-24,Cowen,Not Provided,5,outperform,60.0
2017-04-24,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-04-24,Craig-Hallum Capital Group LLC,12 month,5,buy,65.0
2017-04-24,Piper Jaffray,Not Provided,5,overweight,61.0
2017-04-21,Jefferies,12 month,5,buy,65.0
2017-04-21,William Blair & Co,Not Provided,5,outperform,-0.0
2017-04-16,BMO Capital Markets,Not Provided,5,outperform,60.0
2017-04-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2017-04-11,J.P. Morgan,9 month,3,neutral,53.0
2017-04-06,Edward Jones,Not Provided,5,buy,-0.0
2017-03-24,Barclays,Not Provided,3,equalweight,49.0
2017-03-20,Argus Research Corp,Not Provided,5,buy,60.0
2017-02-24,Morgan Stanley,12 month,3,Equalwt/In-Line,56.0
2017-02-17,Gabelli & Co,Not Provided,5,buy,-0.0
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.0
2017-04-26,Credit Suisse,Not Provided,5,outperform,61.0
2017-04-25,Stifel,12 month,5,buy,65.0
2017-04-24,Cowen,Not Provided,5,outperform,60.0
2017-04-24,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-04-24,Craig-Hallum Capital Group LLC,12 month,5,buy,65.0
2017-04-24,Piper Jaffray,Not Provided,5,overweight,61.0
2017-04-21,Jefferies,12 month,5,buy,65.0
2017-04-21,William Blair & Co,Not Provided,5,outperform,-0.0
2017-04-16,BMO Capital Markets,Not Provided,5,outperform,60.0
2017-04-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2017-04-11,J.P. Morgan,9 month,3,neutral,53.0
2017-04-06,Edward Jones,Not Provided,5,buy,-0.0
2017-03-24,Barclays,Not Provided,3,equalweight,49.0
2017-03-20,Argus Research Corp,Not Provided,5,buy,60.0
2017-02-24,Morgan Stanley,12 month,3,Equalwt/In-Line,56.0
2017-02-17,Gabelli & Co,Not Provided,5,buy,-0.0
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.0
2017-04-26,Credit Suisse,Not Provided,5,outperform,61.0
2017-04-25,Stifel,12 month,5,buy,65.0
2017-04-24,Cowen,Not Provided,5,outperform,60.0
2017-04-24,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-04-24,Craig-Hallum Capital Group LLC,12 month,5,buy,65.0
2017-04-24,Piper Jaffray,Not Provided,5,overweight,61.0
2017-04-21,Jefferies,12 month,5,buy,65.0
2017-04-21,William Blair & Co,Not Provided,5,outperform,-0.0
2017-04-16,BMO Capital Markets,Not Provided,5,outperform,60.0
2017-04-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2017-04-11,J.P. Morgan,9 month,3,neutral,53.0
2017-04-06,Edward Jones,Not Provided,5,buy,-0.0
2017-03-24,Barclays,Not Provided,3,equalweight,49.0
2017-03-20,Argus Research Corp,Not Provided,5,buy,60.0
2017-02-24,Morgan Stanley,12 month,3,Equalwt/In-Line,56.0
2017-02-17,Gabelli & Co,Not Provided,5,buy,-0.0
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.0
2017-04-26,Credit Suisse,Not Provided,5,outperform,61.0
2017-04-25,Stifel,12 month,5,buy,65.0
2017-04-24,Cowen,Not Provided,5,outperform,60.0
2017-04-24,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-04-24,Craig-Hallum Capital Group LLC,12 month,5,buy,65.0
2017-04-24,Piper Jaffray,Not Provided,5,overweight,61.0
2017-04-21,Jefferies,12 month,5,buy,65.0
2017-04-21,William Blair & Co,Not Provided,5,outperform,-0.0
2017-04-16,BMO Capital Markets,Not Provided,5,outperform,60.0
2017-04-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2017-04-11,J.P. Morgan,9 month,3,neutral,53.0
2017-04-06,Edward Jones,Not Provided,5,buy,-0.0
2017-03-24,Barclays,Not Provided,3,equalweight,49.0
2017-03-20,Argus Research Corp,Not Provided,5,buy,60.0
2017-02-24,Morgan Stanley,12 month,3,Equalwt/In-Line,56.0
2017-02-17,Gabelli & Co,Not Provided,5,buy,-0.0
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.0
2017-03-31,Jefferies,Not Provided,5,buy,65.0
2017-03-31,William Blair & Co,Not Provided,5,outperform,-0.0
2017-03-31,Cowen,Not Provided,5,outperform,60.0
2017-03-30,BMO Capital Markets,Not Provided,5,outperform,60.0
2017-03-30,Guggenheim Securities,12 month,5,buy,65.0
2017-03-24,Craig-Hallum Capital Group LLC,12 month,5,buy,65.0
2017-03-24,Barclays,Not Provided,3,equalweight,49.0
2017-03-20,Argus Research Corp,Not Provided,5,buy,60.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Stifel,12 month,5,buy,65.0
2017-03-06,Edward Jones,Not Provided,5,buy,-0.0
2017-02-24,Morgan Stanley,12 month,3,Equalwt/In-Line,56.0
2017-02-21,Piper Jaffray,12 month,5,overweight,61.0
2017-02-17,J.P. Morgan,12 month,3,neutral,53.0
2017-02-17,Gabelli & Co,Not Provided,5,buy,-0.0
2017-02-16,Credit Suisse,Not Provided,5,outperform,61.0
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.0
2016-11-03,Goldman Sachs,12 month,1,sell/attractive,52.0
2017-04-28,William Blair & Co,Not Provided,5,outperform,-0.0
2017-04-26,Credit Suisse,Not Provided,5,outperform,61.0
2017-04-25,Stifel,12 month,5,buy,65.0
2017-04-24,Cowen,Not Provided,5,outperform,60.0
2017-04-24,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-04-24,Craig-Hallum Capital Group LLC,12 month,5,buy,65.0
2017-04-24,Piper Jaffray,Not Provided,5,overweight,61.0
2017-04-21,Jefferies,12 month,5,buy,65.0
2017-04-16,BMO Capital Markets,Not Provided,5,outperform,60.0
2017-04-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2017-04-11,J.P. Morgan,9 month,3,neutral,53.0
2017-04-06,Edward Jones,Not Provided,5,buy,-0.0
2017-03-24,Barclays,Not Provided,3,equalweight,49.0
2017-03-20,Argus Research Corp,Not Provided,5,buy,60.0
2017-02-24,Morgan Stanley,12 month,3,Equalwt/In-Line,56.0
2017-02-17,Gabelli & Co,Not Provided,5,buy,-0.0
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.0
2017-05-02,Craig-Hallum Capital Group LLC,12 month,5,buy,65.0
2017-04-28,William Blair & Co,Not Provided,5,outperform,-0.0
2017-04-26,Credit Suisse,Not Provided,5,outperform,61.0
2017-04-25,Stifel,12 month,5,buy,65.0
2017-04-24,Cowen,Not Provided,5,outperform,60.0
2017-04-24,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-04-24,Piper Jaffray,Not Provided,5,overweight,61.0
2017-04-21,Jefferies,12 month,5,buy,65.0
2017-04-16,BMO Capital Markets,Not Provided,5,outperform,60.0
2017-04-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2017-04-11,J.P. Morgan,9 month,3,neutral,53.0
2017-04-06,Edward Jones,Not Provided,5,buy,-0.0
2017-03-24,Barclays,Not Provided,3,equalweight,49.0
2017-03-20,Argus Research Corp,Not Provided,5,buy,60.0
2017-02-24,Morgan Stanley,12 month,3,Equalwt/In-Line,56.0
2017-02-17,Gabelli & Co,Not Provided,5,buy,-0.0
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.0
