Date,EQY_DVD_YLD_12M
2010-08-30,0.1053
2010-08-31,0.106
2010-09-01,0.1
2010-09-02,0.0987
2010-09-03,0.0967
2010-09-07,0.0985
2010-09-08,0.097
2010-09-09,0.0978
2010-09-10,0.0976
2010-09-13,0.0963
2010-09-14,0.0967
2010-09-15,0.0974
2010-09-16,0.0965
2010-09-17,0.0947
2010-09-20,0.0929
2010-09-21,0.0922
2010-09-22,0.0929
2010-09-23,0.0947
2010-09-24,0.0913
2010-09-27,0.0928
2010-09-28,0.0922
2010-09-29,0.0925
2010-09-30,0.0942
2010-10-01,0.0932
2010-10-04,0.0942
2010-10-05,0.0914
2010-10-06,0.0916
2010-10-07,0.0917
2010-10-08,0.091
2010-10-11,0.0916
2010-10-12,0.0923
2010-10-13,0.091
2010-10-14,0.092
2010-10-15,0.0904
2010-10-18,0.092
2010-10-19,0.0936
2010-10-20,0.0923
2010-10-21,0.0887
2010-10-22,0.086
2010-10-25,0.0869
2010-10-26,0.0882
2010-10-27,0.0876
2010-10-28,0.0873
2010-10-29,0.0879
2010-11-01,0.0875
2010-11-02,0.0852
2010-11-03,0.0857
2010-11-04,0.0838
2010-11-05,0.0828
2010-11-08,0.0851
2010-11-09,0.0857
2010-11-10,0.0872
2010-11-11,0.0896
2010-11-12,0.0903
2010-11-15,0.0899
2010-11-16,0.091
2010-11-17,0.0913
2010-11-18,0.0893
2010-11-19,0.0888
2010-11-22,0.0889
2010-11-23,0.0888
2010-11-24,0.0859
2010-11-26,0.0865
2010-11-29,0.0874
2010-11-30,0.0869
2010-12-01,0.0852
2010-12-02,0.0843
2010-12-03,0.0841
2010-12-06,0.0842
2010-12-07,0.0849
2010-12-08,0.085
2010-12-09,0.0855
2010-12-10,0.085
2010-12-13,0.0845
2010-12-14,0.0859
2010-12-15,0.087
2010-12-16,0.0864
2010-12-17,0.0853
2010-12-20,0.0853
2010-12-21,0.0849
2010-12-22,0.0845
2010-12-23,0.0848
2010-12-27,0.0857
2010-12-28,0.0856
2010-12-29,0.0857
2010-12-30,0.086
2010-12-31,0.0862
2011-01-03,0.0852
2011-01-04,0.0859
2011-01-05,0.0844
2011-01-06,0.084
2011-01-07,0.084
2011-01-10,0.0843
2011-01-11,0.0846
2011-01-12,0.0854
2011-01-13,0.0833
2011-01-14,0.0829
2011-01-18,0.0812
2011-01-19,0.0826
2011-01-20,0.0837
2011-01-21,0.0853
2011-01-24,0.0844
2011-01-25,0.0835
2011-01-26,0.083
2011-01-27,0.083
2011-01-28,0.0851
2011-01-31,0.0839
2011-02-01,0.0834
2011-02-02,0.084
2011-02-03,0.0841
2011-02-04,0.0828
2011-02-07,0.0814
2011-02-08,0.0812
2011-02-09,0.0804
2011-02-10,0.0803
2011-02-11,0.0804
2011-02-14,0.0793
2011-02-15,0.0794
2011-02-16,0.0797
2011-02-17,0.0805
2011-02-18,0.0807
2011-02-22,0.0835
2011-02-23,0.0848
2011-02-24,0.0856
2011-02-25,0.0844
2011-02-28,0.0847
2011-03-01,0.087
2011-03-02,0.0871
2011-03-03,0.0848
2011-03-04,0.0862
2011-03-07,0.0879
2011-03-08,0.086
2011-03-09,0.0847
2011-03-10,0.0859
2011-03-11,0.0824
2011-03-14,0.0832
2011-03-15,0.0847
2011-03-16,0.087
2011-03-17,0.0862
2011-03-18,0.0856
2011-03-21,0.084
2011-03-22,0.0844
2011-03-23,0.0834
2011-03-24,0.0827
2011-03-25,0.0822
2011-03-28,0.0822
2011-03-29,0.081
2011-03-30,0.0812
2011-03-31,0.0815
2011-04-01,0.0802
2011-04-04,0.0807
2011-04-05,0.0814
2011-04-06,0.0812
2011-04-07,0.0815
2011-04-08,0.0821
2011-04-11,0.0823
2011-04-12,0.0833
2011-04-13,0.0835
2011-04-14,0.0844
2011-04-15,0.0833
2011-04-18,0.0843
2011-04-19,0.0839
2011-04-20,0.081
2011-04-21,0.08
2011-04-25,0.0809
2011-04-26,0.0796
2011-04-27,0.0791
2011-04-28,0.0782
2011-04-29,0.0777
2011-05-02,0.078
2011-05-03,0.0774
2011-05-04,0.0782
2011-05-05,0.0779
2011-05-06,0.0761
2011-05-09,0.0762
2011-05-10,0.076
2011-05-11,0.0768
2011-05-12,0.0762
2011-05-13,0.0773
2011-05-16,0.0769
2011-05-17,0.0787
2011-05-18,0.0776
2011-05-19,0.0775
2011-05-20,0.0783
2011-05-23,0.0791
2011-05-24,0.0797
2011-05-25,0.0782
2011-05-26,0.0769
2011-05-27,0.0766
2011-05-31,0.0764
2011-06-01,0.0783
2011-06-02,0.0781
2011-06-03,0.0784
2011-06-06,0.0783
2011-06-07,0.0785
2011-06-08,0.0793
2011-06-09,0.0794
2011-06-10,0.0808
2011-06-13,0.0809
2011-06-14,0.0783
2011-06-15,0.0794
2011-06-16,0.0791
2011-06-17,0.0785
2011-06-20,0.0774
2011-06-21,0.0765
2011-06-22,0.0762
2011-06-23,0.0775
2011-06-24,0.078
2011-06-27,0.0774
2011-06-28,0.0752
2011-06-29,0.0741
2011-06-30,0.0729
2011-07-01,0.0724
2011-07-05,0.0718
2011-07-06,0.0706
2011-07-07,0.0731
2011-07-08,0.0737
2011-07-11,0.0742
2011-07-12,0.0746
2011-07-13,0.0741
2011-07-14,0.0748
2011-07-15,0.0743
2011-07-18,0.0753
2011-07-19,0.074
2011-07-20,0.0739
2011-07-21,0.0716
2011-07-22,0.0726
2011-07-25,0.0738
2011-07-26,0.0749
2011-07-27,0.0769
2011-07-28,0.0754
2011-07-29,0.0744
2011-08-01,0.0746
2011-08-02,0.0765
2011-08-03,0.0767
2011-08-04,0.0806
2011-08-05,0.0804
2011-08-08,0.0865
2011-08-09,0.0822
2011-08-10,0.0852
2011-08-11,0.0801
2011-08-12,0.0788
2011-08-15,0.0787
2011-08-16,0.0799
2011-08-17,0.079
2011-08-18,0.0852
2011-08-19,0.0842
2011-08-22,0.0831
2011-08-23,0.0797
2011-08-24,0.0773
2011-08-25,0.0781
2011-08-26,0.0758
2011-08-29,0.0732
2011-08-30,0.0724
2011-08-31,0.0732
2011-09-01,0.0747
2011-09-02,0.0769
2011-09-06,0.0769
2011-09-07,0.0747
2011-09-08,0.0751
2011-09-09,0.0765
2011-09-12,0.0755
2011-09-13,0.0732
2011-09-14,0.0718
2011-09-15,0.0707
2011-09-16,0.07
2011-09-19,0.0703
2011-09-20,0.0702
2011-09-21,0.0744
2011-09-22,0.0764
2011-09-23,0.074
2011-09-26,0.0736
2011-09-27,0.0717
2011-09-28,0.074
2011-09-29,0.0759
2011-09-30,0.0772
2011-10-03,0.0809
2011-10-04,0.0824
2011-10-05,0.0786
2011-10-06,0.0774
2011-10-07,0.0767
2011-10-10,0.0741
2011-10-11,0.0732
2011-10-12,0.0733
2011-10-13,0.0733
2011-10-14,0.0726
2011-10-17,0.0742
2011-10-18,0.0718
2011-10-19,0.0731
2011-10-20,0.0727
2011-10-21,0.0708
2011-10-24,0.0693
2011-10-25,0.0701
2011-10-26,0.0695
2011-10-27,0.0721
2011-10-28,0.0741
2011-10-31,0.0736
2011-11-01,0.0759
2011-11-02,0.0742
2011-11-03,0.0719
2011-11-04,0.0714
2011-11-07,0.0714
2011-11-08,0.0707
2011-11-09,0.0731
2011-11-10,0.0723
2011-11-11,0.0717
2011-11-14,0.0731
2011-11-15,0.0729
2011-11-16,0.0742
2011-11-17,0.0757
2011-11-18,0.0755
2011-11-21,0.0761
2011-11-22,0.0777
2011-11-23,0.0789
2011-11-25,0.0785
2011-11-28,0.0755
2011-11-29,0.0754
2011-11-30,0.0728
2011-12-01,0.0732
2011-12-02,0.0742
2011-12-05,0.0729
2011-12-06,0.0741
2011-12-07,0.0736
2011-12-08,0.0758
2011-12-09,0.0739
2011-12-12,0.0756
2011-12-13,0.0774
2011-12-14,0.0779
2011-12-15,0.077
2011-12-16,0.0769
2011-12-19,0.0769
2011-12-20,0.0737
2011-12-21,0.0735
2011-12-22,0.0731
2011-12-23,0.0729
2011-12-27,0.0724
2011-12-28,0.0734
2011-12-29,0.0719
2011-12-30,0.0728
2012-01-03,0.0711
2012-01-04,0.071
2012-01-05,0.071
2012-01-06,0.0707
2012-01-09,0.0704
2012-01-10,0.0685
2012-01-11,0.0691
2012-01-12,0.0696
2012-01-13,0.0704
2012-01-17,0.0692
2012-01-18,0.0687
2012-01-19,0.0677
2012-01-20,0.0677
2012-01-23,0.0683
2012-01-24,0.0689
2012-01-25,0.0681
2012-01-26,0.0721
2012-01-27,0.0721
2012-01-30,0.0729
2012-01-31,0.0733
2012-02-01,0.0721
2012-02-02,0.0719
2012-02-03,0.0698
2012-02-06,0.0707
2012-02-07,0.0707
2012-02-08,0.0699
2012-02-09,0.0705
2012-02-10,0.0713
2012-02-13,0.0702
2012-02-14,0.0705
2012-02-15,0.0713
2012-02-16,0.0719
2012-02-17,0.0716
2012-02-21,0.0716
2012-02-22,0.0716
2012-02-23,0.0718
2012-02-24,0.0711
2012-02-27,0.0715
2012-02-28,0.0715
2012-02-29,0.0717
2012-03-01,0.0713
2012-03-02,0.0717
2012-03-05,0.0718
2012-03-06,0.0726
2012-03-07,0.0727
2012-03-08,0.07
2012-03-09,0.0688
2012-03-12,0.0697
2012-03-13,0.0683
2012-03-14,0.0683
2012-03-15,0.0684
2012-03-16,0.0684
2012-03-19,0.0684
2012-03-20,0.0694
2012-03-21,0.0695
2012-03-22,0.0703
2012-03-23,0.0696
2012-03-26,0.0681
2012-03-27,0.0686
2012-03-28,0.0692
2012-03-29,0.0698
2012-03-30,0.0694
2012-04-02,0.0687
2012-04-03,0.0695
2012-04-04,0.0699
2012-04-05,0.0705
2012-04-09,0.0716
2012-04-10,0.0734
2012-04-11,0.0713
2012-04-12,0.0701
2012-04-13,0.0706
2012-04-16,0.0706
2012-04-17,0.0693
2012-04-18,0.0693
2012-04-19,0.0697
2012-04-20,0.069
2012-04-23,0.0701
2012-04-24,0.0696
2012-04-25,0.0686
2012-04-26,0.0684
2012-04-27,0.0676
2012-04-30,0.068
2012-05-01,0.0678
2012-05-02,0.0671
2012-05-03,0.0678
2012-05-04,0.0693
2012-05-07,0.0696
2012-05-08,0.0696
2012-05-09,0.0709
2012-05-10,0.0711
2012-05-11,0.0708
2012-05-14,0.071
2012-05-15,0.072
2012-05-16,0.0724
2012-05-17,0.0721
2012-05-18,0.0717
2012-05-21,0.0698
2012-05-22,0.0706
2012-05-23,0.071
2012-05-24,0.0713
2012-05-25,0.0724
2012-05-29,0.0716
2012-05-30,0.072
2012-05-31,0.0722
2012-06-01,0.0743
2012-06-04,0.0752
2012-06-05,0.0757
2012-06-06,0.0742
2012-06-07,0.0731
2012-06-08,0.0732
2012-06-11,0.0733
2012-06-12,0.0716
2012-06-13,0.0726
2012-06-14,0.072
2012-06-15,0.0719
2012-06-18,0.071
2012-06-19,0.0707
2012-06-20,0.0716
2012-06-21,0.0727
2012-06-22,0.0727
2012-06-25,0.0732
2012-06-26,0.0738
2012-06-27,0.0737
2012-06-28,0.0743
2012-06-29,0.073
2012-07-02,0.0724
2012-07-03,0.0716
2012-07-05,0.0724
2012-07-06,0.0735
2012-07-09,0.0737
2012-07-10,0.0735
2012-07-11,0.0753
2012-07-12,0.0756
2012-07-13,0.0737
2012-07-16,0.0737
2012-07-17,0.0731
2012-07-18,0.0716
2012-07-19,0.0713
2012-07-20,0.0727
2012-07-23,0.074
2012-07-24,0.0746
2012-07-25,0.075
2012-07-26,0.0765
2012-07-27,0.0759
2012-07-30,0.0769
2012-07-31,0.0771
2012-08-01,0.0788
2012-08-02,0.0779
2012-08-03,0.0768
2012-08-06,0.0766
2012-08-07,0.0752
2012-08-08,0.0753
2012-08-09,0.0743
2012-08-10,0.0743
2012-08-13,0.0748
2012-08-14,0.0751
2012-08-15,0.0749
2012-08-16,0.0741
2012-08-17,0.0728
2012-08-20,0.0728
2012-08-21,0.0729
2012-08-22,0.0734
2012-08-23,0.0742
2012-08-24,0.0728
2012-08-27,0.0734
2012-08-28,0.0735
2012-08-29,0.0735
2012-08-30,0.0744
2012-08-31,0.0745
2012-09-04,0.0748
2012-09-05,0.0758
2012-09-06,0.0733
2012-09-07,0.0737
2012-09-10,0.0754
2012-09-11,0.0753
2012-09-12,0.0756
2012-09-13,0.0747
2012-09-14,0.0744
2012-09-17,0.0758
2012-09-18,0.0753
2012-09-19,0.0752
2012-09-20,0.0744
2012-09-21,0.0734
2012-09-24,0.0744
2012-09-25,0.0746
2012-09-26,0.0745
2012-09-27,0.0737
2012-09-28,0.0735
2012-10-01,0.0727
2012-10-02,0.0736
2012-10-03,0.0736
2012-10-04,0.0733
2012-10-05,0.0734
2012-10-08,0.0733
2012-10-09,0.074
2012-10-10,0.0745
2012-10-11,0.0736
2012-10-12,0.0739
2012-10-15,0.0721
2012-10-16,0.0715
2012-10-17,0.0715
2012-10-18,0.0712
2012-10-19,0.0724
2012-10-22,0.0727
2012-10-23,0.0742
2012-10-24,0.0741
2012-10-25,0.0718
2012-10-26,0.0705
2012-10-31,0.0693
2012-11-01,0.069
2012-11-02,0.0694
2012-11-05,0.0684
2012-11-06,0.0675
2012-11-07,0.0692
2012-11-08,0.0705
2012-11-09,0.07
2012-11-12,0.0668
2012-11-13,0.0676
2012-11-14,0.0692
2012-11-15,0.0689
2012-11-16,0.0689
2012-11-19,0.068
2012-11-20,0.0679
2012-11-21,0.0678
2012-11-23,0.0669
2012-11-26,0.0672
2012-11-27,0.067
2012-11-28,0.0661
2012-11-29,0.0655
2012-11-30,0.0654
2012-12-03,0.066
2012-12-04,0.066
2012-12-05,0.0652
2012-12-06,0.0656
2012-12-07,0.0654
2012-12-10,0.065
2012-12-11,0.065
2012-12-12,0.065
2012-12-13,0.0656
2012-12-14,0.0651
2012-12-17,0.0643
2012-12-18,0.0637
2012-12-19,0.064
2012-12-20,0.0636
2012-12-21,0.0638
2012-12-24,0.0638
2012-12-26,0.0641
2012-12-27,0.0639
2012-12-28,0.0646
2012-12-31,0.0634
2013-01-02,0.0622
2013-01-03,0.0625
2013-01-04,0.0627
2013-01-07,0.0633
2013-01-08,0.0643
2013-01-09,0.0638
2013-01-10,0.0632
2013-01-11,0.0639
2013-01-14,0.0638
2013-01-15,0.0634
2013-01-16,0.0653
2013-01-17,0.0644
2013-01-18,0.0647
2013-01-22,0.0644
2013-01-23,0.0644
2013-01-24,0.0628
2013-01-25,0.0627
2013-01-28,0.0641
2013-01-29,0.064
2013-01-30,0.065
2013-01-31,0.0654
2013-02-01,0.0643
2013-02-04,0.065
2013-02-05,0.0643
2013-02-06,0.0642
2013-02-07,0.064
2013-02-08,0.0627
2013-02-11,0.0632
2013-02-12,0.0642
2013-02-13,0.0649
2013-02-14,0.065
2013-02-15,0.0647
2013-02-19,0.0648
2013-02-20,0.0658
2013-02-21,0.0657
2013-02-22,0.065
2013-02-25,0.0664
2013-02-26,0.0654
2013-02-27,0.0645
2013-02-28,0.0643
2013-03-01,0.0646
2013-03-04,0.0642
2013-03-05,0.0633
2013-03-06,0.0634
2013-03-07,0.0634
2013-03-08,0.063
2013-03-11,0.0629
2013-03-12,0.0635
2013-03-13,0.063
2013-03-14,0.0626
2013-03-15,0.0617
2013-03-18,0.0619
2013-03-19,0.0619
2013-03-20,0.0615
2013-03-21,0.0622
2013-03-22,0.0622
2013-03-25,0.0633
2013-03-26,0.0628
2013-03-27,0.0632
2013-03-28,0.0633
2013-04-01,0.0643
2013-04-02,0.0648
2013-04-03,0.0648
2013-04-04,0.0655
2013-04-05,0.0656
2013-04-08,0.0656
2013-04-09,0.0648
2013-04-10,0.0641
2013-04-11,0.0638
2013-04-12,0.0635
2013-04-15,0.065
2013-04-16,0.0636
2013-04-17,0.0647
2013-04-18,0.0655
2013-04-19,0.0645
2013-04-22,0.0647
2013-04-23,0.0645
2013-04-24,0.0635
2013-04-25,0.0638
2013-04-26,0.064
2013-04-29,0.064
2013-04-30,0.0627
2013-05-01,0.0632
2013-05-02,0.0637
2013-05-03,0.0632
2013-05-06,0.0628
2013-05-07,0.062
2013-05-08,0.0625
2013-05-09,0.0581
2013-05-10,0.0572
2013-05-13,0.0576
2013-05-14,0.0565
2013-05-15,0.0567
2013-05-16,0.0573
2013-05-17,0.0563
2013-05-20,0.0558
2013-05-21,0.0562
2013-05-22,0.0567
2013-05-23,0.0572
2013-05-24,0.0569
2013-05-28,0.0564
2013-05-29,0.0569
2013-05-30,0.0556
2013-05-31,0.0561
2013-06-03,0.0554
2013-06-04,0.0561
2013-06-05,0.0571
2013-06-06,0.0558
2013-06-07,0.055
2013-06-10,0.0547
2013-06-11,0.0547
2013-06-12,0.0555
2013-06-13,0.0545
2013-06-14,0.0546
2013-06-17,0.0548
2013-06-18,0.0541
2013-06-19,0.0554
2013-06-20,0.0562
2013-06-21,0.0567
2013-06-24,0.0572
2013-06-25,0.0565
2013-06-26,0.0546
2013-06-27,0.0532
2013-06-28,0.0531
2013-07-01,0.0522
2013-07-02,0.053
2013-07-03,0.0521
2013-07-05,0.0511
2013-07-08,0.0518
2013-07-09,0.0513
2013-07-10,0.0512
2013-07-11,0.0506
2013-07-12,0.0511
2013-07-15,0.0512
2013-07-16,0.0518
2013-07-17,0.0515
2013-07-18,0.0515
2013-07-19,0.0512
2013-07-22,0.0511
2013-07-23,0.0509
2013-07-24,0.0514
2013-07-25,0.052
2013-07-26,0.0533
2013-07-29,0.0535
2013-07-30,0.0541
2013-07-31,0.0541
2013-08-01,0.0534
2013-08-02,0.0536
2013-08-05,0.0534
2013-08-06,0.0541
2013-08-07,0.0543
2013-08-08,0.0543
2013-08-09,0.0549
2013-08-12,0.0555
2013-08-13,0.0545
2013-08-14,0.0547
2013-08-15,0.0552
2013-08-16,0.0553
2013-08-19,0.0552
2013-08-20,0.0556
2013-08-21,0.0558
2013-08-22,0.0547
2013-08-23,0.055
2013-08-26,0.0555
2013-08-27,0.0566
2013-08-28,0.0565
2013-08-29,0.0562
2013-08-30,0.0568
2013-09-03,0.0561
2013-09-04,0.0551
2013-09-05,0.0553
2013-09-06,0.0546
2013-09-09,0.0539
2013-09-10,0.0535
2013-09-11,0.0525
2013-09-12,0.0522
2013-09-13,0.0517
2013-09-16,0.0512
2013-09-17,0.0506
2013-09-18,0.0506
2013-09-19,0.051
2013-09-20,0.0517
2013-09-23,0.0525
2013-09-24,0.0522
2013-09-25,0.0526
2013-09-26,0.0522
2013-09-27,0.0526
2013-09-30,0.0528
2013-10-01,0.0517
2013-10-02,0.0521
2013-10-03,0.0519
2013-10-04,0.0513
2013-10-07,0.0512
2013-10-08,0.0515
2013-10-09,0.0522
2013-10-10,0.0503
2013-10-11,0.05
2013-10-14,0.0497
2013-10-15,0.0504
2013-10-16,0.05
2013-10-17,0.0497
2013-10-18,0.0493
2013-10-21,0.0496
2013-10-22,0.0495
2013-10-23,0.0487
2013-10-24,0.0468
2013-10-25,0.0471
2013-10-28,0.0473
2013-10-29,0.0471
2013-10-30,0.0476
2013-10-31,0.0473
2013-11-01,0.0474
2013-11-04,0.0475
2013-11-05,0.0476
2013-11-06,0.0475
2013-11-07,0.0485
2013-11-08,0.0478
2013-11-11,0.0484
2013-11-12,0.0481
2013-11-13,0.0483
2013-11-14,0.0482
2013-11-15,0.048
2013-11-18,0.0469
2013-11-19,0.0472
2013-11-20,0.0479
2013-11-21,0.0473
2013-11-22,0.0465
2013-11-25,0.0466
2013-11-26,0.0463
2013-11-27,0.0462
2013-11-29,0.0464
2013-12-02,0.0466
2013-12-03,0.0468
2013-12-04,0.0473
2013-12-05,0.0475
2013-12-06,0.0472
2013-12-09,0.0473
2013-12-10,0.0474
2013-12-11,0.0476
2013-12-12,0.0473
2013-12-13,0.0474
2013-12-16,0.0466
2013-12-17,0.0459
2013-12-18,0.0453
2013-12-19,0.0455
2013-12-20,0.0448
2013-12-23,0.0447
2013-12-24,0.0443
2013-12-26,0.0443
2013-12-27,0.0447
2013-12-30,0.0447
2013-12-31,0.0446
2014-01-02,0.0452
2014-01-03,0.0448
2014-01-06,0.0452
2014-01-07,0.0448
2014-01-08,0.0445
2014-01-09,0.0441
2014-01-10,0.0442
2014-01-13,0.0446
2014-01-14,0.0443
2014-01-15,0.0441
2014-01-16,0.0441
2014-01-17,0.0443
2014-01-21,0.0444
2014-01-22,0.0443
2014-01-23,0.046
2014-01-24,0.047
2014-01-27,0.0468
2014-01-28,0.0469
2014-01-29,0.0474
2014-01-30,0.0473
2014-01-31,0.0471
2014-02-03,0.0484
2014-02-04,0.0486
2014-02-05,0.0481
2014-02-06,0.0473
2014-02-07,0.0461
2014-02-10,0.0466
2014-02-11,0.0458
2014-02-12,0.0457
2014-02-13,0.0455
2014-02-14,0.0461
2014-02-18,0.0464
2014-02-19,0.047
2014-02-20,0.0464
2014-02-21,0.0468
2014-02-24,0.0467
2014-02-25,0.0471
2014-02-26,0.0474
2014-02-27,0.0464
2014-02-28,0.0465
2014-03-03,0.0469
2014-03-04,0.0461
2014-03-05,0.0461
2014-03-06,0.0459
2014-03-07,0.0456
2014-03-10,0.046
2014-03-11,0.0465
2014-03-12,0.0463
2014-03-13,0.0473
2014-03-14,0.0476
2014-03-17,0.0471
2014-03-18,0.047
2014-03-19,0.0479
2014-03-20,0.0468
2014-03-21,0.0475
2014-03-24,0.048
2014-03-25,0.048
2014-03-26,0.0486
2014-03-27,0.0491
2014-03-28,0.0485
2014-03-31,0.0475
2014-04-01,0.0462
2014-04-02,0.0465
2014-04-03,0.0466
2014-04-04,0.0473
2014-04-07,0.048
2014-04-08,0.0486
2014-04-09,0.0473
2014-04-10,0.0485
2014-04-11,0.0491
2014-04-14,0.0489
2014-04-15,0.0487
2014-04-16,0.0473
2014-04-17,0.0467
2014-04-21,0.0465
2014-04-22,0.0467
2014-04-23,0.0462
2014-04-24,0.0468
2014-04-25,0.0477
2014-04-28,0.0484
2014-04-29,0.0475
2014-04-30,0.0474
2014-05-01,0.0472
2014-05-02,0.0472
2014-05-05,0.0461
2014-05-06,0.0471
2014-05-07,0.0471
2014-05-08,0.0472
2014-05-09,0.047
2014-05-12,0.0469
2014-05-13,0.0473
2014-05-14,0.0482
2014-05-15,0.0494
2014-05-16,0.05
2014-05-19,0.0492
2014-05-20,0.0494
2014-05-21,0.0489
2014-05-22,0.0487
2014-05-23,0.0482
2014-05-27,0.0476
2014-05-28,0.0478
2014-05-29,0.0474
2014-05-30,0.0474
2014-06-02,0.0465
2014-06-03,0.0461
2014-06-04,0.0456
2014-06-05,0.0444
2014-06-06,0.044
2014-06-09,0.0438
2014-06-10,0.0438
2014-06-11,0.0447
2014-06-12,0.0453
2014-06-13,0.0452
2014-06-16,0.0453
2014-06-17,0.0452
2014-06-18,0.0453
2014-06-19,0.0452
2014-06-20,0.0452
2014-06-23,0.0457
2014-06-24,0.0471
2014-06-25,0.047
2014-06-26,0.0475
2014-06-27,0.0472
2014-06-30,0.0475
2014-07-01,0.047
2014-07-02,0.0473
2014-07-03,0.0471
2014-07-07,0.047
2014-07-08,0.0472
2014-07-09,0.0471
2014-07-10,0.0473
2014-07-11,0.0469
2014-07-14,0.0463
2014-07-15,0.0462
2014-07-16,0.0466
2014-07-17,0.0471
2014-07-18,0.0466
2014-07-21,0.0468
2014-07-22,0.0467
2014-07-23,0.048
2014-07-24,0.0508
2014-07-25,0.0515
2014-07-28,0.0514
2014-07-29,0.0519
2014-07-30,0.0515
2014-07-31,0.0524
2014-08-01,0.0523
2014-08-04,0.0524
2014-08-05,0.0523
2014-08-06,0.0525
2014-08-07,0.0523
2014-08-08,0.0513
2014-08-11,0.0513
2014-08-12,0.0516
2014-08-13,0.0509
2014-08-14,0.0499
2014-08-15,0.0501
2014-08-18,0.0497
2014-08-19,0.0495
2014-08-20,0.0492
2014-08-21,0.0492
2014-08-22,0.0494
2014-08-25,0.0493
2014-08-26,0.0492
2014-08-27,0.0495
2014-08-28,0.0494
2014-08-29,0.0492
2014-09-02,0.0497
2014-09-03,0.0498
2014-09-04,0.0502
2014-09-05,0.0498
2014-09-08,0.0496
2014-09-09,0.0497
2014-09-10,0.0495
2014-09-11,0.0497
2014-09-12,0.05
2014-09-15,0.0495
2014-09-16,0.0495
2014-09-17,0.0491
2014-09-18,0.0486
2014-09-19,0.0488
2014-09-22,0.0495
2014-09-23,0.0502
2014-09-24,0.05
2014-09-25,0.0506
2014-09-26,0.0501
2014-09-29,0.0506
2014-09-30,0.0507
2014-10-01,0.0523
2014-10-02,0.0528
2014-10-03,0.0518
2014-10-06,0.0522
2014-10-07,0.0536
2014-10-08,0.0524
2014-10-09,0.0537
2014-10-10,0.0537
2014-10-13,0.055
2014-10-14,0.0536
2014-10-15,0.0538
2014-10-16,0.0539
2014-10-17,0.053
2014-10-20,0.0531
2014-10-21,0.052
2014-10-22,0.0531
2014-10-23,0.0536
2014-10-24,0.0537
2014-10-27,0.0542
2014-10-28,0.0539
2014-10-29,0.0541
2014-10-30,0.0542
2014-10-31,0.0544
2014-11-03,0.0535
2014-11-04,0.0536
2014-11-05,0.0538
2014-11-06,0.0533
2014-11-07,0.053
2014-11-10,0.0531
2014-11-11,0.0532
2014-11-12,0.0531
2014-11-13,0.0529
2014-11-14,0.053
2014-11-17,0.0529
2014-11-18,0.052
2014-11-19,0.0515
2014-11-20,0.0516
2014-11-21,0.0506
2014-11-24,0.0503
2014-11-25,0.0504
2014-11-26,0.0502
2014-11-28,0.0504
2014-12-01,0.0509
2014-12-02,0.0509
2014-12-03,0.0499
2014-12-04,0.0495
2014-12-05,0.0494
2014-12-08,0.0494
2014-12-09,0.0496
2014-12-10,0.0511
2014-12-11,0.0515
2014-12-12,0.0521
2014-12-15,0.052
2014-12-16,0.0523
2014-12-17,0.0513
2014-12-18,0.0507
2014-12-19,0.0506
2014-12-22,0.0501
2014-12-23,0.0498
2014-12-24,0.0497
2014-12-26,0.0497
2014-12-29,0.0496
2014-12-30,0.0496
2014-12-31,0.0498
2015-01-02,0.0503
2015-01-05,0.0514
2015-01-06,0.052
2015-01-07,0.0522
2015-01-08,0.052
2015-01-09,0.0523
2015-01-12,0.0532
2015-01-13,0.0529
2015-01-14,0.0538
2015-01-15,0.0546
2015-01-16,0.0601
2015-01-20,0.0585
2015-01-21,0.0575
2015-01-22,0.0574
2015-01-23,0.0577
2015-01-26,0.0583
2015-01-27,0.0588
2015-01-28,0.0592
2015-01-29,0.0592
2015-01-30,0.06
2015-02-02,0.0582
2015-02-03,0.0576
2015-02-04,0.0586
2015-02-05,0.0586
2015-02-06,0.0589
2015-02-09,0.0595
2015-02-10,0.0596
2015-02-11,0.0591
2015-02-12,0.0588
2015-02-13,0.0584
2015-02-17,0.0584
2015-02-18,0.0569
2015-02-19,0.056
2015-02-20,0.0546
2015-02-23,0.0561
2015-02-24,0.0558
2015-02-25,0.0567
2015-02-26,0.0553
2015-02-27,0.0555
2015-03-02,0.0552
2015-03-03,0.0556
2015-03-04,0.0562
2015-03-05,0.0555
2015-03-06,0.0564
2015-03-09,0.0566
2015-03-10,0.0571
2015-03-11,0.0573
2015-03-12,0.0572
2015-03-13,0.0587
2015-03-16,0.058
2015-03-17,0.0576
2015-03-18,0.0567
2015-03-19,0.0577
2015-03-20,0.0571
2015-03-23,0.057
2015-03-24,0.0572
2015-03-25,0.0573
2015-03-26,0.0571
2015-03-27,0.0566
2015-03-30,0.0567
2015-03-31,0.0571
2015-04-01,0.0572
2015-04-02,0.0569
2015-04-06,0.0563
2015-04-07,0.0561
2015-04-08,0.056
2015-04-09,0.0564
2015-04-10,0.0563
2015-04-13,0.0565
2015-04-14,0.0556
2015-04-15,0.0577
2015-04-16,0.0586
2015-04-17,0.0597
2015-04-20,0.0589
2015-04-21,0.0586
2015-04-22,0.0586
2015-04-23,0.0585
2015-04-24,0.0598
2015-04-27,0.0585
2015-04-28,0.0577
2015-04-29,0.058
